video_on,num_clients,topology,total_packets,total_bytes,avg_bytes,std_bytes,median_bytes,max_bytes,total_packets_in,total_bytes_in,avg_bytes_in,std_bytes_in,median_bytes_in,max_bytes_in,total_packets_out,total_bytes_out,avg_bytes_out,std_bytes_out,median_bytes_out,max_bytes_out,avg_inter_arr,std_inter_arr,median_inter_arr,max_inter_arr
True,8,hdumb,918068,421542193,459.16227665053134,401.5130540285299,367.0,1214,311270,180945845,581.314758890995,461.3234105602458,701.0,1214,606798,240596348,396.50155076318646,350.94131259192494,287.0,1214,0.000625540634948731,0.0007068176490646632,0.00040602684020996094,0.025503873825073242
True,8,hdumb,889169,419424489,471.70390443211585,401.77185862436625,414.0,1214,311520,181127719,581.4320717770929,460.76990243514535,704.0,1214,577649,238296770,412.528663600214,352.11151580848207,346.0,1214,0.0006290301292871316,0.000728755531141852,0.0004019737243652344,0.032937049865722656
False,5,hdumb,164732,14826232,90.00213680402108,27.52404771582108,79.0,547,52686,4293099,81.48462589682269,26.53607100499628,76.0,547,112046,10533133,94.00722024882637,27.065469051276065,83.0,359,0.0037505330719938314,0.003193061160798956,0.002866983413696289,0.04516792297363281
False,5,hdumb,155654,13565697,87.1528968095905,23.996882849512268,78.0,546,52492,4289906,81.72494856359064,20.483426491729123,75.0,546,103162,9275791,89.9148039006611,25.154627170572194,80.0,359,0.003745369665830421,0.003364645044469031,0.0027379989624023438,0.04360318183898926
False,5,hdumb,150504,13078043,86.8949861797693,24.498555211172693,77.0,547,52708,4271491,81.04065796463534,20.584731059397136,73.0,547,97796,8806552,90.05022700314942,25.82353707528638,79.0,359,0.0037414718710582547,0.002978214086602707,0.00298309326171875,0.0377202033996582
,,,,,,,
True,8,hdumb,503254,222585697,442.29295147182137,411.05564189257194,136.0,1214,232262,132518611,570.5565740413844,455.83621425903976,667.0,1214,270992,90067086,332.3606822341619,330.9230672173657,125.0,1214,0.0008786390353107104,0.0009877054409461437,0.000598907470703125,0.07590413093566895
True,8,hdumb,723831,236599039,326.87055265662843,374.7478366418052,92.0,1214,255302,122238704,478.8004167613258,449.7258471114573,217.0,1214,468529,114360335,244.08379203848642,295.5003531575766,85.0,1214,0.0007753086240628135,0.000836284530303485,0.0005269050598144531,0.033529043197631836
True,8,hdumb,636409,216669275,340.45601963517174,379.96875092998596,112.0,1215,240204,120088102,499.94214084694676,446.65080431497535,349.0,1215,396205,96581173,243.7656591915801,293.58003613647026,102.0,1214,0.0008239836854460204,0.0008952373804978283,0.0005619525909423828,0.04331803321838379
True,8,hdumb,384350,157408050,409.5435150253675,417.9184396287057,121.0,1214,194380,112582460,579.1874678464862,454.5314208724932,688.0,1214,189970,44825590,235.9614149602569,287.0435575170919,111.0,1214,0.0010202111697388183,0.0011006312210608293,0.0006940364837646484,0.033635854721069336
True,8,hdumb,385267,171350395,444.7575188116293,437.6662885637476,123.0,1214,192756,116006182,601.8291622569466,469.0156596926464,817.0,1214,192511,55344213,287.48597742466666,337.12786634226075,102.0,1214,0.0010630526724116744,0.0010820938063282473,0.0007550716400146484,0.03162693977355957
True,5,hdumb,412178,171499939,416.0822241846969,406.0477281545305,141.0,1214,191425,110802300,578.8287841191067,454.40129702509296,679.0,1214,220753,60697639,274.9572553940377,293.109542147031,124.0,1214,0.0010420924027063343,0.0018574684080211869,0.0007009506225585938,0.36948704719543457
True,5,hdumb,285534,111871384,391.79706794987635,417.4298474318282,115.0,1214,155781,89954508,577.442101411597,450.7737578448265,673.0,1214,129753,21916876,168.9122871918183,220.08353686750152,80.0,1213,0.0012815585505565976,0.0018516630180679633,0.0008969306945800781,0.27391886711120605
True,5,hdumb,397323,161948202,407.59835700425094,416.74484328870625,123.0,1214,194591,113440343,582.9680869104943,454.54583628228835,692.0,1214,202732,48507859,239.27085511907345,290.1897176912853,100.0,1214,0.0010243221742961407,0.0010744515554351032,0.0007259845733642578,0.04338479042053223
False,8,hdumb,210328,17470750,83.06430907915257,22.126215324178393,77.0,546,62189,4794986,77.1034427310296,19.957421371415176,74.0,546,148139,12675764,85.56669074315339,22.510209689948024,78.0,358,0.0031672837021589017,0.0028462537073274227,0.0023109912872314453,0.036086082458496094
False,8,hdumb,224035,18807182,83.94751712902001,22.746884068543604,77.0,547,73388,5687174,77.49460402245599,17.939615885831554,72.0,547,150647,13120008,87.09106719682437,24.135841887564542,78.0,358,0.002688202188136716,0.002377724420603726,0.0020990371704101562,0.03412914276123047
