video_on,num_clients,topology,vpn,vpn_topology,total_packets,total_bytes,avg_bytes,std_bytes,median_bytes,max_bytes,total_packets_in,total_bytes_in,avg_bytes_in,std_bytes_in,median_bytes_in,max_bytes_in,total_packets_out,total_bytes_out,avg_bytes_out,std_bytes_out,median_bytes_out,max_bytes_out,avg_inter_arr,std_inter_arr,median_inter_arr,max_inter_arr
True,3,hdumb,ipsec,ptp,11135,1312815,117.8998652896273,125.19054969761343,88.0,1480,2611,247371,94.74186135580237,178.40015937160402,56.0,1160,1417,161876,114.23853211009174,87.23753766300831,100.0,1160,0.07512239770414272,0.08761108963912914,0.04410445690155029,0.5886979103088379
True,3,hdumb,ipsec,ptp,11022,1360177,123.40564325893668,127.26962597621086,88.0,1480,2447,230748,94.29832447895382,179.25870822330538,56.0,1202,1525,167777,110.01770491803279,72.25557277169985,100.0,1086,0.08017936789979724,0.09041792824683792,0.05149805545806885,0.5668530464172363
True,3,hdumb,ipsec,ptp,9847,1124669,114.21438001421753,98.1614246526739,88.0,1480,2376,135081,56.85227272727273,35.45068122114245,56.0,547,433,49336,113.93995381062355,50.544682258646084,104.0,358,0.08154532251859967,0.09494248107273685,0.048249006271362305,0.622459888458252
True,5,hdumb,ipsec,ptp,285673,144437435,505.60408228989087,438.731217214252,481.0,1480,149772,91217319,609.0412026279946,469.74623162800043,834.0,1214,123170,51728400,419.97564341966387,376.13908545410493,132.0,1214,0.001306515119941937,0.001349333708300514,0.000904083251953125,0.024258136749267578
True,5,hdumb,ipsec,ptp,297354,145379779,488.9114624319834,437.5140370237456,141.0,1480,149310,91116220,610.2486102739267,469.44894316607923,837.0,1214,134577,52714347,391.70398359303596,371.46934054517016,125.0,1214,0.0013072746932749676,0.0013330045579379528,0.0009241104125976562,0.015496015548706055
True,5,hdumb,ipsec,ptp,298333,145437783,487.50149329775786,437.9125188692409,137.0,1480,149699,91237770,609.4748127910007,469.4507617854393,835.0,1214,135841,52768693,388.45925015275213,371.7175475203778,124.0,1214,0.0013079084750112038,0.0013548335630630714,0.0009119510650634766,0.03495502471923828
True,8,hdumb,ipsec,ptp,708050,338786459,478.47815690982276,420.83963682365106,410.0,1480,264503,157793508,596.566042729194,470.4919245725868,797.0,1214,421361,178664159,424.0168382930551,373.23296561812924,133.0,1214,0.0007336790840691258,0.0008008798274450842,0.0004839897155761719,0.03576779365539551
True,8,hdumb,ipsec,ptp,700865,337355473,481.34158932176666,422.47909465605443,448.0,1480,265253,158059134,595.8806648746669,470.8937160450094,791.0,1214,414017,177041635,427.61924027274245,375.66850242107836,139.0,1214,0.0007340785745649462,0.0007888189605883721,0.0004889965057373047,0.042024850845336914
True,8,hdumb,ipsec,ptp,680375,335705385,493.4122873415396,422.24498890317585,508.0,1480,264720,157785194,596.0456104563312,470.5649788125968,794.0,1214,394218,175594099,445.4238492407754,375.8300838522513,462.0,1214,0.0007348883421707034,0.0008188706399992336,0.00048089027404785156,0.04033398628234863
False,5,hdumb,ipsec,ptp,118619,10911476,91.9875905209115,38.6466222765704,81.0,1480,42149,3498478,83.00263351443688,24.153806053401382,75.0,548,63534,5937242,93.44983788207888,28.05659660726156,84.0,358,0.004634055849654382,0.003396998293152594,0.003986954689025879,0.030557870864868164
False,5,hdumb,ipsec,ptp,101648,9162315,90.13768101684244,43.106753942094215,78.0,1480,42274,3373568,79.80243175474287,26.57309353957398,75.0,547,46695,4314003,92.38682942499197,29.684864039456173,85.0,358,0.004629946210714702,0.00381771891531512,0.003726959228515625,0.040415048599243164
False,5,hdumb,ipsec,ptp,101970,9122523,89.4628125919388,39.77806798175221,78.0,1480,42197,3406392,80.72592838353438,21.045311633739225,75.0,547,46600,4256151,91.33371244635192,29.435371075644397,82.0,358,0.004623263342616253,0.003303114364861593,0.004179954528808594,0.024808883666992188
False,8,hdumb,wireguard,sts,336389,72358388,215.10331193945106,282.77142243270356,144.0,1452,0,0,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan
False,8,hdumb,wireguard,sts,350583,74342936,212.05516525330663,277.1511561216081,144.0,1452,0,0,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan
False,8,hdumb,wireguard,sts,374171,78840228,210.70640963623583,268.3880365435605,144.0,1452,0,0,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan
True,8,hdumb,wireguard,sts,875883,494128864,564.1493943825831,418.0886237829013,544.0,1452,0,0,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan
True,8,hdumb,wireguard,sts,930348,503792480,541.5097146444126,416.4070125110292,448.0,1452,0,0,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan
True,8,hdumb,wireguard,sts,951676,506381440,532.0943682513797,416.27721211188236,432.0,1452,0,0,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan
False,8,hdumb,wireguard,ptp,388689,59445707,152.93900007460977,277.3130251870755,79.0,1452,73974,5694425,76.978735772028,19.576256563354704,73.0,547,229229,20125338,87.79577627612562,23.229154258090354,78.0,358,0.002613533463846225,0.002135961182157396,0.002131938934326172,0.03974008560180664
False,8,hdumb,wireguard,ptp,377144,60301853,159.89079237638674,293.488320409333,79.0,1452,73922,5701318,77.1261329509483,17.69584247278128,72.0,546,219362,19149931,87.2983059964807,22.7722428932032,78.0,358,0.0026084204208147582,0.002561821206747637,0.0018301010131835938,0.03849387168884277
False,8,hdumb,wireguard,ptp,404916,62641764,154.70310879293484,283.1802321153015,79.0,1452,73870,5857028,79.28831731420063,19.091555115290344,75.0,547,243377,20908784,85.91109266693238,21.079229208233475,78.0,358,0.002610707357577265,0.002370941619091796,0.0019638538360595703,0.019747018814086914
True,8,hdumb,wireguard,ptp,901632,451071756,500.28365896507665,420.5499445424853,451.0,1452,264200,157250923,595.1965291445874,470.73197899172976,790.0,1214,482085,205498953,426.271203211052,349.8837690061583,385.0,1214,0.0007297032918986328,0.0008013533954304756,0.00047707557678222656,0.045479774475097656
True,8,hdumb,wireguard,ptp,940638,454551621,483.23756960701144,419.6155087435784,393.0,1452,265867,157542786,592.5623939789443,470.9214086136697,776.0,1214,517762,208300023,402.3084409439086,347.81279208968505,326.0,1214,0.0007303512259705426,0.0008126795597198129,0.0004742145538330078,0.07290387153625488
True,8,hdumb,wireguard,ptp,951588,459044654,482.398531717508,417.9180435409312,373.0,1452,264649,156948362,593.0434726751282,471.5384422502053,785.0,1214,529152,211905580,400.4625891993227,343.5462648145011,302.0,1214,0.0007280163726611761,0.0007952368448659852,0.0004699230194091797,0.02548384666442871
True,8,hdumb,wireguard,ptp,972823,456650792,469.4078902328584,418.7794645305054,339.0,1452,265333,157327652,592.9441569650213,471.43406080512045,777.0,1214,547501,210738576,384.9099380640401,346.24635932843194,139.0,1214,0.0007308067511382169,0.0008000931271352457,0.00047397613525390625,0.027016878128051758
False,3,tiered,ipsec,sts,74207,19304884,260.1490964464269,365.23506506878596,144.0,1480,0,0,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan
False,3,tiered,ipsec,sts,78224,19839036,253.61827572100634,355.9031454569188,144.0,1480,0,0,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan
False,3,tiered,ipsec,sts,76307,19600448,256.8630400880653,360.75346172659323,144.0,1480,0,0,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan
False,8,tiered,ipsec,sts,364716,75537548,207.11333750095966,275.4035406179212,140.0,1480,0,0,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan
False,8,tiered,ipsec,sts,337979,71253576,210.8224948887357,285.0709286258562,140.0,1480,0,0,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan
False,8,tiered,ipsec,sts,329879,70892868,214.90567147347966,287.22215233151906,140.0,1480,0,0,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan
True,3,tiered,ipsec,sts,208620,115648964,554.3522385197967,437.9050483742998,428.0,1480,0,0,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan
True,3,tiered,ipsec,sts,214919,117353524,546.0360600970598,437.3742472378073,412.0,1480,0,0,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan
True,3,tiered,ipsec,sts,212986,117003744,549.3494595888932,437.37395119040684,420.0,1480,0,0,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan
