video_on,num_clients,topology,total_packets,total_bytes,avg_bytes,std_bytes,median_bytes,max_bytes,total_packets_in,total_bytes_in,avg_bytes_in,std_bytes_in,median_bytes_in,max_bytes_in,total_packets_out,total_bytes_out,avg_bytes_out,std_bytes_out,median_bytes_out,max_bytes_out,avg_inter_arr,std_inter_arr,median_inter_arr,max_inter_arr
False,3,hdumb,72331,7070695,97.75469715612947,26.62402575292005,86.0,554,31533,2992996,94.91630989756763,23.771392444514056,85.0,554,40798,4077699,99.94850237756752,28.44166009760008,90.0,367,0.006281283963956038,0.004844307294554156,0.005179882049560547,0.10438013076782227
False,3,hdumb,66143,6573785,99.38746352599671,29.38110315583165,88.0,555,31436,2952536,93.92212749713704,26.778318320123407,83.0,555,34707,3621249,104.3377128533149,30.726329435329284,117.0,367,0.006287179191180399,0.005071526783714435,0.00514984130859375,0.13299894332885742
False,3,hdumb,64748,6389164,98.67739544078582,27.837223535999424,86.0,554,31432,2967029,94.39517052685162,23.825391542180512,83.0,554,33316,3422135,102.71746308080202,30.608029873227448,112.0,367,0.006282568675767552,0.0049097647832274495,0.005262851715087891,0.03895711898803711
False,8,hdumb,343012,31945633,93.13269798141172,22.277256240885993,85.0,555,84033,7273785,86.55867337831566,19.122478528767168,83.0,555,258979,24671848,95.26582464215245,22.80533456071897,86.0,367,0.0023162261287129208,0.0020087803963429545,0.0018169879913330078,0.03128790855407715
False,8,hdumb,318825,29432746,92.31630518309417,21.738617369934204,85.0,555,83843,7212080,86.01886859964458,17.830672992926672,82.0,555,234982,22220666,94.56326867589858,22.5509332950095,86.0,367,0.002320683510634898,0.0021760714769400594,0.0017549991607666016,0.0549318790435791
False,8,hdumb,336718,31035378,92.1702374093455,21.254368193557948,85.0,555,84417,7274210,86.16996576518947,17.892632982579517,81.0,555,252301,23761168,94.17785898589383,21.902173118216037,86.0,367,0.0023262836067309608,0.0020344081153503926,0.001854538917541504,0.04524993896484375
True,3,hdumb,212234,99656733,469.56064061366226,412.5902385333986,344.0,1222,119844,70574068,588.8827809485665,442.8587165661342,682.0,1222,92390,29082665,314.7815239744561,306.9519236539167,131.0,1222,0.0016526991821887735,0.0016646002338343761,0.0011980533599853516,0.03516387939453125
True,3,hdumb,210195,99350772,472.6600156997074,412.8005101281715,350.0,1222,119614,70453339,589.0057936361965,442.75991837774956,682.0,1222,90581,28897433,319.02311743080776,308.3482111435624,133.0,1222,0.0016520871553434336,0.0016962109735017608,0.0011899471282958984,0.04183816909790039
True,3,hdumb,214818,99779736,464.48498729156773,411.96846002717854,333.0,1222,119695,70477831,588.8118217135219,442.5752378302593,681.0,1222,95123,29301905,308.0422715852107,304.7684624433948,130.0,1222,0.0016533170668330311,0.0016874765811411335,0.0011909008026123047,0.03700709342956543
True,5,hdumb,437896,207180365,473.12687259075216,408.2384936580823,368.0,1222,196392,116397319,592.6785154181433,454.35420413622137,705.0,1222,241504,90783046,375.90700775142443,336.5060247948829,142.0,1222,0.0010065164545693408,0.0010966428926507384,0.0006952285766601562,0.03966689109802246
True,5,hdumb,432271,206266436,477.16926650180096,408.3669270484471,379.0,1222,196067,116069644,591.9896973993584,454.77658769386704,703.0,1222,236204,90196792,381.85971448409003,336.8760903127136,240.0,1222,0.001004571195182961,0.0010642431443506522,0.0007050037384033203,0.0379481315612793
True,5,hdumb,432485,206594037,477.69064129391774,408.3953707409251,381.0,1222,196277,116306924,592.5652216000856,454.32505438334704,706.0,1222,236208,90287113,382.23562707444285,337.3195246094983,243.0,1222,0.0010063062162352064,0.0011161811366533646,0.0006949901580810547,0.04416012763977051
True,8,hdumb,929077,431638073,464.58805136710953,399.7378409100934,363.0,1222,311747,183773488,589.4956102223919,460.7091900065062,711.0,1222,617330,247864585,401.51067500364474,348.4821381166027,217.0,1222,0.000627534829843599,0.000834746151532653,0.0004049539566040039,0.2002859115600586
True,8,hdumb,918068,428886737,467.16227665053134,401.5130540285299,375.0,1222,311270,183436005,589.314758890995,461.3234105602458,709.0,1222,606798,245450732,404.50155076318646,350.94131259192494,295.0,1222,0.000625540634948731,0.0007068176490646632,0.00040602684020996094,0.025503873825073242
True,8,hdumb,889169,426537841,479.70390443211585,401.77185862436625,422.0,1222,311520,183619879,589.4320717770929,460.76990243514535,712.0,1222,577649,242917962,420.528663600214,352.11151580848207,354.0,1222,0.0006290301292871316,0.000728755531141852,0.0004019737243652344,0.032937049865722656
False,5,hdumb,164732,16144088,98.00213680402108,27.52404771582108,87.0,555,52686,4714587,89.48462589682269,26.53607100499628,84.0,555,112046,11429501,102.00722024882637,27.065469051276065,91.0,367,0.0037505330719938314,0.003193061160798956,0.002866983413696289,0.04516792297363281
False,5,hdumb,155654,14810929,95.1528968095905,23.996882849512268,86.0,554,52492,4709842,89.72494856359064,20.483426491729123,83.0,554,103162,10101087,97.9148039006611,25.154627170572194,88.0,367,0.003745369665830421,0.003364645044469031,0.0027379989624023438,0.04360318183898926
False,5,hdumb,150504,14282075,94.8949861797693,24.498555211172693,85.0,555,52708,4693155,89.04065796463534,20.584731059397136,81.0,555,97796,9588920,98.05022700314942,25.82353707528638,87.0,367,0.0037414718710582547,0.002978214086602707,0.00298309326171875,0.0377202033996582
True,8,hdumb,503254,226611729,450.29295147182137,411.05564189257194,144.0,1222,232262,134376707,578.5565740413844,455.83621425903976,675.0,1222,270992,92235022,340.3606822341619,330.9230672173657,133.0,1222,0.0008786390353107104,0.0009877054409461437,0.000598907470703125,0.07590413093566895
True,8,hdumb,723831,242389687,334.87055265662843,374.7478366418052,100.0,1222,255302,124281120,486.8004167613258,449.7258471114573,225.0,1222,468529,118108567,252.08379203848642,295.5003531575766,93.0,1222,0.0007753086240628135,0.000836284530303485,0.0005269050598144531,0.033529043197631836
True,8,hdumb,636409,221760547,348.45601963517174,379.96875092998596,120.0,1223,240204,122009734,507.94214084694676,446.65080431497535,357.0,1223,396205,99750813,251.7656591915801,293.58003613647026,110.0,1222,0.0008239836854460204,0.0008952373804978283,0.0005619525909423828,0.04331803321838379
True,8,hdumb,384350,160482850,417.5435150253675,417.9184396287057,129.0,1222,194380,114137500,587.1874678464862,454.5314208724932,696.0,1222,189970,46345350,243.9614149602569,287.0435575170919,119.0,1222,0.0010202111697388183,0.0011006312210608293,0.0006940364837646484,0.033635854721069336
True,8,hdumb,385267,174432531,452.7575188116293,437.6662885637476,131.0,1222,192756,117548230,609.8291622569466,469.0156596926464,825.0,1222,192511,56884301,295.48597742466666,337.12786634226075,110.0,1222,0.0010630526724116744,0.0010820938063282473,0.0007550716400146484,0.03162693977355957
True,5,hdumb,412178,174797363,424.0822241846969,406.0477281545305,149.0,1222,191425,112333700,586.8287841191067,454.40129702509296,687.0,1222,220753,62463663,282.9572553940377,293.109542147031,132.0,1222,0.0010420924027063343,0.0018574684080211869,0.0007009506225585938,0.36948704719543457
True,5,hdumb,285534,114155656,399.79706794987635,417.4298474318282,123.0,1222,155781,91200756,585.442101411597,450.7737578448265,681.0,1222,129753,22954900,176.9122871918183,220.08353686750152,88.0,1221,0.0012815585505565976,0.0018516630180679633,0.0008969306945800781,0.27391886711120605
True,5,hdumb,397323,165126786,415.59835700425094,416.74484328870625,131.0,1222,194591,114997071,590.9680869104943,454.54583628228835,700.0,1222,202732,50129715,247.27085511907345,290.1897176912853,108.0,1222,0.0010243221742961407,0.0010744515554351032,0.0007259845733642578,0.04338479042053223
False,8,hdumb,210328,19153374,91.06430907915257,22.126215324178393,85.0,554,62189,5292498,85.1034427310296,19.957421371415176,82.0,554,148139,13860876,93.56669074315339,22.510209689948024,86.0,366,0.0031672837021589017,0.0028462537073274227,0.0023109912872314453,0.036086082458496094
False,8,hdumb,224035,20599462,91.94751712902001,22.746884068543604,85.0,555,73388,6274278,85.49460402245599,17.939615885831554,80.0,555,150647,14325184,95.09106719682437,24.135841887564542,86.0,366,0.002688202188136716,0.002377724420603726,0.0020990371704101562,0.03412914276123047
False,8,hdumb,175798,16044719,91.26792682510609,23.172635519654282,85.0,555,62596,5343288,85.36149274714039,18.838376202809687,80.0,555,113202,10701431,94.53393932969382,24.65164907529647,86.0,366,0.0031850431643218715,0.002959770545360012,0.0022649765014648438,0.033384084701538086
False,5,hdumb,159431,15192359,95.29112280547697,24.440387344802616,85.0,555,52701,4742856,89.9955598565492,21.207769941732447,83.0,555,106730,10449503,97.90595896186639,25.485610019358457,86.0,366,0.0037797774580895786,0.0030779198411149305,0.0031194686889648438,0.03445291519165039
